lambda	alpha	Final_Accuracy	Sparsity
1.4	0.01	94.78	20703523
1.4	0.1	94.55	20737874
1.4	0.3	94.9	20428879
1.6	0.001	94.67	21011427
1.6	0.01	94.44	21008880
1.6	0.1	94.26	20838014
1.6	0.3	94.79	20196101
1.8	0.0001	94.8	21041527
1.8	0.001	93.9	21440897
1.8	0.01	93.92	21123309
1.8	0.1	94.57	20990533
1.8	0.3	94.62	20500899
1.8	1e-05	94.06	21030802
2.0	0.001	94.73	21332414
2.0	0.01	94.47	21281005
2.0	0.1	94.49	21263833
2.0	0.3	94.43	21127220
2.2	0.001	94.11	21462149
2.2	0.01	94.3	21636397
2.2	0.1	94.17	21566667
2.2	0.3	94.78	21179191
2.2	0.6	94.67	20997165
2.2	1e-06	94.13	21611437
2.5	0.001	93.79	21417743
2.5	0.01	94.29	21575587
2.5	0.1	94.17	21578824
2.5	0.3	94.1	21537042
2.5	0.6	94.71	20710051
2.5	1e-06	94.24	21626898
2.8	0.001	93.72	21964741
2.8	0.01	93.61	21914821
2.8	0.1	93.82	21758293
2.8	0.3	93.99	21803477
